,Tot_Clms,Tot_30day_Fills,Tot_Day_Suply,Tot_Drug_Cst,Tot_Benes
Tot_Clms,1.0,1.0,0.973,0.474,0.791
Tot_30day_Fills,1.0,1.0,0.973,0.474,0.791
Tot_Day_Suply,0.973,0.973,1.0,0.488,0.718
Tot_Drug_Cst,0.474,0.474,0.488,1.0,0.302
Tot_Benes,0.791,0.791,0.718,0.302,1.0
